id,user_id,category,review_type,title,excerpt,body,customer_type,destination_country,destination_city,tags,travel_month,displayed_date,rating_label,thumbnail_url,is_featured,display_order,status,rejection_reason,source_type,approved_at,approved_by,published_at,created_at,updated_at
l1m2n3o4-p5q6-4r7s-8t9u-0v1w2x3y4z5a,k1l2m3n4-o5p6-4q7r-8s9t-0u1v2w3x4y5z,overseas,business_group,"사업자 모임 대만 타이베이 투어, 효율적인 시찰과 관광이 좋았습니다",짧은 일정 속에 비즈니스 시찰과 현지 관광을 조화롭게 녹여낸 점이 인상적이었습니다.,"현지 유통 센터 시찰 일정이 매끄럽게 진행되었고 이후의 관광 동선도 겹치지 않아 효율적이었습니다. 저녁에는 참석자들 간의 정보 공유를 위한 조용한 연회 장소를 제공해주어 목적을 달성하는 데 도움이 되었습니다. 대만 특유의 야시장 문화를 안전하게 경험할 수 있도록 가이드가 잘 이끌어주었습니다.",사업자모임,대만,타이베이,"[""사업자모임"", ""시찰여행"", ""일정관리""]",2026-03-30,2026-04-05,4.8,,False,10,approved,,manual_admin,2026-04-05 09:30:00,admin,2026-04-05 09:40:00,2026-04-05 08:00:00,2026-04-05 09:30:00
m2n3o4p5-q6r7-4s8t-9u0v-1w2x3y4z5a6b,l2m3n4o5-p6q7-4r8s-9t0u-1v2w3x4y5z6a,overseas,hiking_group,"산악회 회원들과 함께한 뉴질랜드 퀸스타운, 대자연의 감동을 느꼈습니다",하이킹 코스 선정부터 도시락 하나까지 등산 동호인의 니즈를 정확히 파악했습니다.,"퀸스타운의 절경을 배경으로 한 하이킹 코스는 난이도가 적절하여 회원들이 매우 즐거워했습니다. 전용 차량 내부에 등산 스틱과 여분의 생수를 상시 비치해두는 세심함에 감탄했습니다. 일정 중 진행된 양떼 목장 방문과 번지점프 관람도 신선한 재미를 주었습니다.",산악회,뉴질랜드,퀸스타운,"[""산악회"", ""자연경관"", ""30명여행""]",2026-02-15,2026-02-22,4.9,,True,11,approved,,manual_admin,2026-02-22 15:00:00,admin,2026-02-22 15:15:00,2026-02-22 14:00:00,2026-02-22 15:00:00
n3o4p5q6-r7s8-4t9u-0v1w-2x3y4z5a6b7c,m3n4o5p6-q7r8-4s9t-0u1v-2w3x4y5z6a7b,overseas,couple_group,"부부동반 모임 방콕/파타야 여행, 여유로운 휴식과 미식이 가득했습니다",부부들이 선호하는 마사지 투어와 루프탑 디너 일정이 완벽하게 배치되었습니다.,"파타야의 프라이빗한 풀빌라 숙소 덕분에 부부들만의 오붓한 시간을 가질 수 있었습니다. 가이드가 추천해준 태국 전통 요리들이 향신료가 강하지 않아 모두가 맛있게 식사했습니다. 단체 이동 중에도 개별 쇼핑 시간을 충분히 할당해주어 만족도가 높았습니다.",부부동반모임,태국,방콕,"[""부부동반모임"", ""휴양여행"", ""식사만족""]",2025-02-14,2025-02-20,4.7,,False,12,approved,,manual_admin,2025-02-20 10:00:00,admin,2025-02-20 10:10:00,2025-02-20 09:00:00,2025-02-20 10:00:00
o4p5q6r7-s8t9-4u0v-1w2x-3y4z5a6b7c8d,n4o5p6q7-r8s9-4t0u-1v2w-3x4y5z6a7b8c,domestic,alumni_group,"동문회 부산 1박 2일 나들이, 30명 대인원 관리가 매끄러웠습니다",부산의 복잡한 교통 상황에서도 전용 대형 버스 덕분에 쾌적하게 이동했습니다.,"해운대 바다가 한눈에 보이는 숙소와 부산 명물 횟집에서의 저녁 식사가 훌륭했습니다. 30명의 동문이 동시에 움직였지만 집결 시간과 장소가 명확히 안내되어 혼선이 없었습니다. 야간 요트 투어는 이번 여행의 백미로 모두에게 잊지 못할 추억이 되었습니다.",동문회,한국,부산,"[""동문회"", ""친목여행"", ""30명여행""]",2025-10-25,2025-10-27,4.8,,False,13,approved,,manual_admin,2025-10-27 12:00:00,admin,2025-10-27 12:15:00,2025-10-27 11:00:00,2025-10-27 12:00:00
p5q6r7s8-t9u0-4v1w-2x3y-4z5a6b7c8d9e,o5p6q7r8-s9t0-4u1v-2w3x-4y5z6a7b8c9d,domestic,senior_group,"시니어 동창회 강릉 여행, 무리 없는 동선과 맛깔나는 한식이 좋았습니다",어르신들의 체력을 배려한 여유로운 커피 거리 산책과 정갈한 한정식이 인상적이었습니다.,"오랜만에 만난 동창들과 바다를 보며 담소를 나누기에 충분한 시간이 주어져 만족스러웠습니다. 이동 중간에 들른 지역 시장 투어도 인솔자의 안내 덕분에 안전하고 즐겁게 구경했습니다. 숙소가 깨끗하고 접근성이 좋아 어르신들이 이동하기에 매우 편리했습니다.",시니어모임,한국,강릉,"[""시니어모임"", ""힐링여행"", ""식사만족""]",2025-11-03,2025-11-05,4.9,,False,14,approved,,manual_admin,2025-11-05 16:00:00,admin,2025-11-05 16:15:00,2025-11-05 15:00:00,2025-11-05 16:00:00
q6r7s8t9-u0v1-4w2x-3y4z-5a6b7c8d9e0f,p6q7r8s9-t0u1-4v2w-3x4y-5z6a7b8c9d0e,overseas,executive_group,"최고경영자과정 밀라노 패션/디자인 연수, 고품격 서비스에 감동했습니다",밀라노 디자인 위크에 맞춰 진행된 이번 연수는 숙소와 식당의 수준이 남달랐습니다.,"세계적인 디자인 트렌드를 접하는 일정답게 호텔 인테리어와 위치가 최고 수준이었습니다. 이동 중 제공된 차량의 안락함과 현지 소믈리에가 진행한 와인 만찬이 원우님들께 큰 호응을 얻었습니다. 복잡한 전시회장 내에서도 질서 있게 이동할 수 있도록 잘 가이드해주셨습니다.",최고경영자과정모임,이탈리아,밀라노,"[""최고경영자과정모임"", ""비즈니스연수"", ""품격여행""]",2026-10-09,2026-10-18,5.0,,True,15,approved,,manual_admin,2026-10-18 10:00:00,admin,2026-10-18 10:20:00,2026-10-18 09:30:00,2026-10-18 10:00:00
r7s8t9u0-v1w2-4x3y-4z5a-6b7c8d9e0f1g,q7r8s9t0-u1v2-4w3x-4y5z-6a7b8c9d0e1f,overseas,association,"협회 이사회 쿠알라룸푸르 워크숍, 집중도 높은 환경이 좋았습니다",업무 회의와 팀 빌딩 액티비티가 적절히 섞여 협회 운영 방안 논의가 활발히 진행되었습니다.,"조용한 리조트 내 회의실과 장비 지원이 완벽하여 이사회 본연의 업무에 집중할 수 있었습니다. 오후에 진행된 시티 투어와 바투 동굴 방문은 적당한 휴식과 볼거리를 제공했습니다. 현지 음식과 한식을 조화롭게 구성한 식단 덕분에 참석자들의 건강 관리도 수월했습니다.",협회모임,말레이시아,쿠알라룸푸르,"[""협회모임"", ""워크숍"", ""일정관리""]",2025-08-19,2025-08-25,4.8,,False,16,approved,,manual_admin,2025-08-25 14:00:00,admin,2025-08-25 14:15:00,2025-08-25 13:00:00,2025-08-25 14:00:00
s8t9u0v1-w2x3-4y4z-5a6b-7c8d9e0f1g2h,r8s9t0u1-v2w3-4x4y-5z6a-7b8c9d0e1f2g,overseas,business_group,"상인회 대만 가오슝 시장 시찰 여행, 실질적인 도움이 되었습니다",가오슝의 전통 시장과 야시장을 체계적으로 방문하며 우리 사업장 적용 방안을 논의했습니다.,"현지 가이드가 대만 시장의 특성을 잘 설명해주어 상인회원들이 많은 통찰을 얻었습니다. 이동 시 단체용 버스가 대기하고 있어 무더운 날씨에도 쾌적하게 시찰을 이어갈 수 있었습니다. 저녁에는 회원들끼리 맥주 한잔하며 화합을 다질 수 있는 장소를 마련해주어 좋았습니다.",상인회,대만,가오슝,"[""상인회"", ""시장시찰"", ""화합여행""]",2026-04-05,2026-04-10,4.7,,False,17,approved,,manual_admin,2026-04-10 11:30:00,admin,2026-04-10 11:45:00,2026-04-10 10:00:00,2026-04-10 11:30:00
t9u0v1w2-x3y4-4z5a-6b7c-8d9e0f1g2h3i,s9t0u1v2-w3x4-4y5z-6a7b-8c9d0e1f2g3h,domestic,small_group,"소규모 단체 여수 밤바다 우정 여행, 10명이 즐기기에 딱이었습니다",10인승 밴을 이용해 여수 골목골목의 맛집들을 편리하게 방문했습니다.,"대형 버스가 가기 힘든 여수 시내의 숨은 명소들을 가이드의 안내로 편하게 구경했습니다. 오션뷰 풀빌라 숙소에서의 하룻밤은 친구들 모두가 만족해하는 선택이었습니다. 케이블카와 향일암 동선이 겹치지 않게 잘 조율되어 피로감 없이 즐겼습니다.",소규모단체,한국,여수,"[""소규모단체"", ""우정여행"", ""10명여행""]",2025-05-25,2025-05-28,4.9,,False,18,approved,,manual_admin,2025-05-28 09:00:00,admin,2025-05-28 09:10:00,2025-05-28 08:30:00,2025-05-28 09:00:00
u0v1w2x3-y4z5-4a6b-7c8d-9e0f1g2h3i4j,t0u1v2w3-x4y5-4z6a-7b8c-9d0e1f2g3h4i,overseas,executive_group,"최고경영자 모임 스위스 취리히 힐링 투어, 자연 속 여유가 넘쳤습니다",스위스의 맑은 공기와 함께한 이번 여행은 대표님들께 진정한 휴식을 선사했습니다.,"취리히 호수가 보이는 럭셔리 호텔에서의 숙박은 참석하신 분들의 품격에 걸맞은 선택이었습니다. 루체른 리기산 방문 시 VIP 전용 케이블카를 지원받아 대기 없이 편리하게 이동했습니다. 일정 중간중간 마련된 티타임과 자유 산책 시간이 매우 여유롭고 좋았습니다.",최고경영자모임,스위스,취리히,"[""최고경영자모임"", ""힐링투어"", ""품격여행""]",2026-07-12,2026-07-20,5.0,,True,19,approved,,manual_admin,2026-07-20 17:00:00,admin,2026-07-20 17:20:00,2026-07-20 16:00:00,2026-07-20 17:00:00
v1w2x3y4-z5a6-4b7c-8d9e-0f1g2h3i4j5k,u1v2w3x4-y5z6-4a7b-8c9d-0e1f2g3h4i5j,domestic,hiking_group,"산악회 정기 원정 제주 한라산 트레킹, 안전하고 즐거웠습니다",등산 코스 선정부터 하산 후 뒤풀이 장소까지 모든 동선이 완벽했습니다.,"한라산 등반 허가 신청부터 차량 대기까지 꼼꼼하게 챙겨주셔서 회원들이 산행에만 집중할 수 있었습니다. 하산 시간에 맞춰 준비된 따뜻한 전골 요리는 회원들의 피로를 말끔히 씻어주었습니다. 40명의 대인원을 질서 있게 이끌어준 전문 산악 가이드의 노련함이 돋보였습니다.",산악회,한국,제주,"[""산악회"", ""한라산트레킹"", ""40명여행""]",2025-04-20,2025-04-23,4.8,,False,20,approved,,manual_admin,2025-04-23 10:00:00,admin,2025-04-23 10:15:00,2025-04-23 09:00:00,2025-04-23 10:00:00
w2x3y4z5-a6b7-4c8d-9e0f-1g2h3i4j5k6l,v2w3x4y5-z6a7-4b8c-9d0e-1f2g3h4i5j6k,overseas,couple_group,"부부동반 모임 이탈리아 피렌체 예술 여행, 잊지 못할 추억이 되었습니다",예술의 도시 피렌체에서 보낸 부부들의 럭셔리한 휴식과 관광이 조화로웠습니다.,"우피치 미술관 도슨트 투어가 매우 전문적이어서 평소 예술에 관심 많던 부부들이 크게 만족했습니다. 저녁에는 토스카나 와이너리에서 진행된 만찬이 분위기와 맛 모두 훌륭했습니다. 단체 이동임에도 불구하고 각 부부의 개별 자유 시간을 배려해준 유연한 운영이 좋았습니다.",부부동반모임,이탈리아,피렌체,"[""부부동반모임"", ""예술여행"", ""와이너리투어""]",2026-09-15,2026-09-25,4.9,,False,21,approved,,manual_admin,2026-09-25 15:00:00,admin,2026-09-25 15:20:00,2026-09-25 14:00:00,2026-09-25 15:00:00
x3y4z5a6-b7c8-4d9e-0f1g-2h3i4j5k6l7m,w3x4y5z6-a7b8-4c9d-0e1f-2g3h4i5j6k7l,overseas,alumni_group,"대학원 동문회 태국 치앙마이 워크숍, 자연 속의 쉼표 같았습니다",치앙마이의 한적한 분위기 속에서 진행된 동문들의 화합 시간이 매우 뜻깊었습니다.,"도심을 벗어난 숲속 리조트 숙박은 동문들끼리 밤늦게까지 담소를 나누기에 최적의 장소였습니다. 오전의 짧은 세미나 이후 진행된 요가와 쿠킹 클래스는 참석자들에게 신선한 즐거움을 주었습니다. 대규모 인원이었지만 식사 장소마다 넉넉한 공간이 확보되어 쾌적했습니다.",대학원동문모임,태국,치앙마이,"[""대학원동문모임"", ""친목여행"", ""25명여행""]",2025-12-28,2026-01-05,4.8,,False,22,approved,,manual_admin,2026-01-05 11:00:00,admin,2026-01-05 11:15:00,2026-01-05 10:00:00,2026-01-05 11:00:00
y4z5a6b7-c8d9-4e0f-1g2h-3i4j5k6l7m8n,x4y5z6a7-b8c9-4d0e-1f2g-3h4i5j6k7l8m,overseas,senior_group,"시니어 모임 도쿄 온천 및 시티 투어, 무리 없는 동선이 일품이었습니다",도쿄 시내의 복잡함을 피해 여유롭게 짠 일정 덕분에 어르신들이 지치지 않으셨습니다.,"황궁 주변 산책과 하코네 온천 일정이 적절히 섞여 시니어 회원들의 선호도가 매우 높았습니다. 가이드가 한국어와 일본어에 능숙할 뿐만 아니라 어르신들을 대하는 태도가 정중하여 믿음이 갔습니다. 숙소 근처에 병원과 편의시설이 잘 갖춰진 곳을 선정해준 세심함이 돋보였습니다.",시니어모임,일본,도쿄,"[""시니어모임"", ""온천휴양"", ""동선안정""]",2026-02-10,2026-02-15,4.7,,False,23,approved,,manual_admin,2026-02-15 13:30:00,admin,2026-02-15 13:45:00,2026-02-15 12:00:00,2026-02-15 13:30:00
z5a6b7c8-d9e0-4f1g-2h3i-4j5k6l7m8n9o,y5z6a7b8-c9d0-4e1f-2g3h-4i5j6k7l8m9n,overseas,business_group,"상인회 회원 베트남 호치민 경제 시찰, 많은 영감을 얻었습니다",호치민의 활기찬 시장 경제를 직접 보고 느끼며 회원들 간의 사업 아이디어를 공유했습니다.,"대형 유통 매장과 전통 시장의 대비를 통해 유통 흐름을 파악하는 유익한 시간이었습니다. 인솔자가 현지 비즈니스 관습까지 설명해주어 단순 관광 이상의 깊이 있는 연수가 되었습니다. 이동 중 제공된 한식 도시락과 현지 특식의 조화가 훌륭하여 식사 만족도가 높았습니다.",상인회,베트남,호치민,"[""상인회"", ""경제시찰"", ""30명여행""]",2025-06-05,2025-06-12,4.8,,False,24,approved,,manual_admin,2025-06-12 16:00:00,admin,2025-06-12 16:20:00,2025-06-12 15:00:00,2025-06-12 16:00:00
a6b7c8d9-e0f1-4g2h-3i4j-5k6l7m8n9o0p,z5a6b7c8-d9e0-4f1g-2h3i-4j5k6l7m8n9o,overseas,association,"협회 회원 아이슬란드 레이캬비크 탐방, 자연의 경이로움을 만끽했습니다",쉽게 가기 힘든 아이슬란드 일정을 40명의 대인원이 안전하게 소화했습니다.,"강풍과 눈 등 기상 변화가 심한 지역임에도 베테랑 운전기사와 가이드 덕분에 일정이 원활하게 진행되었습니다. 오로라 헌팅 투어와 골든 서클 방문 등 핵심 코스가 빠짐없이 포함되어 협회원들의 감동이 컸습니다. 호텔의 난방 시설과 조식 퀄리티가 훌륭하여 매일 아침 상쾌하게 일정을 시작했습니다.",협회모임,아이슬란드,레이캬비크,"[""협회모임"", ""자연경관"", ""40명여행""]",2025-12-15,2025-12-25,5.0,,True,25,approved,,manual_admin,2025-12-25 10:00:00,admin,2025-12-25 10:25:00,2025-12-25 09:00:00,2025-12-25 10:00:00
b7c8d9e0-f1g2-4h3i-4j5k-6l7m8n9o0p1q,a6b7c8d9-e0f1-4g2h-3i4j-5k6l7m8n9o0p,domestic,small_group,"원우회 전주 한옥 마을 체험 여행, 전통의 멋을 느낀 시간이었습니다",원우 12명과 함께 전주의 고즈넉한 한옥에서 보낸 하룻밤은 특별한 경험이었습니다.,"전통 한옥 숙소였지만 현대적인 편의시설이 잘 갖춰져 있어 불편함이 전혀 없었습니다. 현지 가이드가 추천해준 비빔밥과 막걸리 골목 탐방은 원우들 간의 우애를 다지기에 더할 나위 없었습니다. 이동 시 15인승 밴을 이용해 좁은 골목까지 편리하게 이동한 점이 좋았습니다.",원우회,한국,전주,"[""원우회"", ""문화체험"", ""12명여행""]",2025-03-22,2025-03-24,4.9,,False,26,approved,,manual_admin,2025-03-24 14:00:00,admin,2025-03-24 14:10:00,2025-03-24 13:00:00,2025-03-24 14:00:00
c8d9e0f1-g1h2-4i3j-4k5l-6m7n8o9p0q1r,b7c8d9e0-f1g2-4h3i-4j5k-6l7m8n9o0p1q,overseas,executive_group,"최고경영자과정 뉴질랜드 오클랜드 골프 여행, 라운딩 만족도가 높았습니다",명문 골프장에서 즐긴 쾌적한 라운딩과 대표님들을 위한 세심한 의전이 훌륭했습니다.,"골프장 티타임 확보부터 클럽 하우스 식사까지 모든 과정이 막힘없이 진행되었습니다. 라운딩 후 진행된 현지 최고급 스테이크 만찬은 참석하신 모든 원우님들이 극찬하셨습니다. 숙소에서 시내 중심가까지의 접근성이 좋아 저녁 자유 시간 활용도도 매우 높았습니다.",최고경영자과정모임,뉴질랜드,오클랜드,"[""최고경영자과정모임"", ""골프여행"", ""VIP의전""]",2026-01-20,2026-01-30,4.9,,True,27,approved,,manual_admin,2026-01-30 09:00:00,admin,2026-01-30 09:20:00,2026-01-30 08:30:00,2026-01-30 09:00:00
d9e0f1g2-h2i3-4j4k-5l6m-7n8o9p0q1r2s,c8d9e0f1-g1h2-4i3j-4k5l-6m7n8o9p0q1r,domestic,small_group,"소규모 단체 부산 요트 및 미식 여행, 알찬 2박 3일이었습니다",친목 모임 15명이 즐기기에 부족함 없는 숙소와 화려한 야경 투어가 인상적이었습니다.,"해운대 요트 투어 시 우리 팀만을 위한 단독 대절 서비스를 제공받아 매우 특별한 기분이었습니다. 부산의 대표적인 맛집들을 줄 서지 않고 바로 입장할 수 있도록 사전에 조율해주어 시간을 아낄 수 있었습니다. 가이드의 친절한 설명과 사진 촬영 서비스 덕분에 멋진 추억을 많이 남겼습니다.",소규모단체,한국,부산,"[""소규모단체"", ""미식여행"", ""15명여행""]",2025-09-18,2025-09-21,4.8,,False,28,approved,,manual_admin,2025-09-21 16:30:00,admin,2025-09-21 16:45:00,2025-09-21 15:00:00,2025-09-21 16:30:00
